question,answer,keypoints,post_date
1. Explain the four main principles of Object-Oriented Programming (OOP).,"OOP principles include Encapsulation (data hiding), Abstraction (simplifying complexity), Inheritance (code reuse via hierarchy), and Polymorphism (same interface, different behavior). These help structure large systems efficiently.
Additionally, consider real-world trade-offs, edge cases, and best practices. Provide examples where applicable and mention common pitfalls to avoid.",Encapsulation; Abstraction; Inheritance; Polymorphism; Code reuse; Maintainability; Modularity; Reusability; Design patterns; SOLID principles,2026-02-10
2. What is a closure in JavaScript and when would you use it?,"A closure is when a function retains access to variables from its outer scope even after execution. It is commonly used for data privacy, callbacks, and maintaining state in async operations.
Additionally, consider real-world trade-offs, edge cases, and best practices. Provide examples where applicable and mention common pitfalls to avoid.",Lexical scope; Private variables; Data hiding; Callbacks; Async behavior; Memory management; Functional programming; State retention,2026-02-11
3. Describe RESTful API design.,"REST APIs follow stateless communication, use HTTP methods properly, and structure endpoints around resources. They improve scalability and maintainability.
Additionally, consider real-world trade-offs, edge cases, and best practices. Provide examples where applicable and mention common pitfalls to avoid.",Stateless; HTTP methods; Resource-based; JSON/XML; Status codes; Scalability; API versioning; Security; Caching,2026-02-12
4. Difference between SQL and NoSQL?,"SQL databases are structured with fixed schemas, while NoSQL databases are flexible and scalable. SQL is ideal for transactions, NoSQL for big data.
Additionally, consider real-world trade-offs, edge cases, and best practices. Provide examples where applicable and mention common pitfalls to avoid.",Structured vs unstructured; ACID; Scalability; Flexibility; Use-cases; Performance; Indexing; Horizontal scaling,2026-02-13
5. Explain Big-O notation.,"Big-O notation measures algorithm performance. It helps compare efficiency of algorithms like O(1), O(n), O(log n).
Additionally, consider real-world trade-offs, edge cases, and best practices. Provide examples where applicable and mention common pitfalls to avoid.",Time complexity; Space complexity; O(1); O(n); O(log n); Optimization; Scalability; Worst case; Average case,2026-02-14
6. What is CI/CD?,"CI/CD automates testing and deployment of code. CI ensures code integration, CD ensures automatic delivery.
Additionally, consider real-world trade-offs, edge cases, and best practices. Provide examples where applicable and mention common pitfalls to avoid.",Automation; Deployment; Pipelines; Testing; Continuous delivery; DevOps; Monitoring; Rollback; Integration,2026-02-15
7. How to optimize a slow website?,"Improve performance by optimizing images, reducing HTTP requests, using caching, and minimizing code.
Additionally, consider real-world trade-offs, edge cases, and best practices. Provide examples where applicable and mention common pitfalls to avoid.",Optimization; Caching; CDN; Lazy loading; Minification; Performance tools; Server tuning; Compression,2026-02-16
8. Sync vs Async programming?,"Synchronous runs sequentially, asynchronous allows parallel execution using callbacks/promises.
Additionally, consider real-world trade-offs, edge cases, and best practices. Provide examples where applicable and mention common pitfalls to avoid.",Blocking; Non-blocking; Async/await; Promises; Event loop; Concurrency; Performance; Responsiveness,2026-02-17
9. What is unit testing?,"Unit testing validates individual components to ensure correctness and reliability.
Additionally, consider real-world trade-offs, edge cases, and best practices. Provide examples where applicable and mention common pitfalls to avoid.",Testing; Debugging; Automation; Code quality; Test cases; Frameworks; Reliability; CI integration,2026-02-18
10. How to resolve git conflicts?,"Resolve conflicts by reviewing changes, merging code carefully, and testing before committing.
Additionally, consider real-world trade-offs, edge cases, and best practices. Provide examples where applicable and mention common pitfalls to avoid.",Version control; Conflict resolution; Collaboration; Git tools; Merge; Rebase; Testing; Communication,2026-02-19
