question,answer,keyPoints,company,date
What is a closure in JavaScript?,A closure lets a function access variables from its outer scope even after the outer function has returned; useful for data encapsulation and factory functions.,retains_outer_scope;private_state;useful_for_callbacks,Google;Meta;Amazon,2021-03-10;2022-06-15;2020-11-20
Explain event delegation in JavaScript.,"Event delegation uses event bubbling to handle events at a parent element, reducing listeners and improving performance for dynamic content.",event_bubbling;fewer_listeners;works_with_dynamic_elements,Google;Amazon,2021-05-12;2020-09-30
"Difference between var, let and const in JavaScript.",var is function-scoped and hoisted; let and const are block-scoped. const creates a read-only binding.,scope_differences;hoisting;use_const_by_default,Amazon;Meta;Flipkart,2020-11-20;2022-06-15;2023-01-05
How does prototypal inheritance work in JavaScript?,Objects inherit properties via the prototype chain; property lookup follows the chain until found or null is reached.,prototype_chain;delegation;not_classical_inheritance,Meta;Google,2022-06-15;2021-03-10
What is REST and what makes an API RESTful?,"REST is an architectural style using stateless operations, resource-based URLs, and standard HTTP verbs; RESTful APIs follow these principles and use proper status codes.",stateless;resource_urls;use_http_verbs,Amazon;Flipkart,2021-08-01;2023-01-05
Explain different types of SQL JOINs.,INNER JOIN returns matching rows; LEFT returns all left rows with matched right rows; RIGHT returns all right rows with matched left rows; FULL OUTER returns all rows from both.,inner_vs_outer;left_right;when_to_use_each,Microsoft;Amazon,2020-10-10;2020-11-20
Describe CSS specificity and how it's calculated.,Specificity ranks selectors: inline styles > IDs > classes/attributes/pseudo-classes > elements/pseudo-elements. Higher specificity wins.,selector_categories;priority_rules;avoid_important,Google;Adobe,2021-07-22;2021-12-01
What is the Virtual DOM in React?,"Virtual DOM is an in-memory representation that React diffs to apply minimal DOM updates, improving performance.",in_memory_ui;reconciliation;performance,Meta;Google,2022-03-05;2021-03-10
How to optimize React application performance?,"Use memoization (React.memo, useMemo), code-splitting, lazy loading, and virtualize large lists to avoid unnecessary renders.",memoization;code_splitting;virtualize_lists,Meta;Amazon,2022-06-15;2020-11-20
Explain OAuth 2.0 and common flows.,"OAuth 2.0 is an authorization framework; common flows include Authorization Code, Client Credentials, and Refresh Tokens for long-lived sessions.",auth_vs_authn;auth_code_flow;use_refresh_tokens,Google;Microsoft;Amazon,2021-03-10;2020-10-10;2020-11-20
